Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=2, NUM_ROUNDS=1,
time: 54.7962 seconds | Experiment
time: 52.529700000000005 seconds | Round=1
time: 7.4559 seconds | deploying contract
time: 19.288099999999996 seconds | Training client=0
time: 19.349400000000003 seconds | Training client=1
time: 18.7104 seconds | Aggregating round=1
time: 8.6677 seconds | setting weights to the blockchain
time: 0.13179999999999997 seconds | saving aggregated model to storage (round=1)
time: 7.892899999999999 seconds | setting aggregated model to the blockchain round=1
time: 38.3969331668 seconds | FL

Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=2, NUM_ROUNDS=5,
time: 199.05339999999998 seconds | Experiment
time: 55.00019999999999 seconds | Round=1
time: 6.4233 seconds | deploying contract
time: 18.55684 seconds | Training client=0
time: 18.69704 seconds | Training client=1
time: 18.025399999999998 seconds | Aggregating round=1
time: 6.88692 seconds | setting weights to the blockchain
time: 0.16760000000000003 seconds | saving aggregated model to storage (round=1)
time: 7.8444 seconds | setting aggregated model to the blockchain round=1
time: 35.0313 seconds | Round=2
time: 16.3641 seconds | Aggregating round=2
time: 0.1614 seconds | saving aggregated model to storage (round=2)
time: 7.8134 seconds | setting aggregated model to the blockchain round=2
time: 35.508500000000005 seconds | Round=3
time: 16.8209 seconds | Aggregating round=3
time: 0.1726 seconds | saving aggregated model to storage (round=3)
time: 7.798900000000001 seconds | setting aggregated model to the blockchain round=3
time: 35.0695 seconds | Round=4
time: 16.315199999999997 seconds | Aggregating round=4
time: 0.16570000000000001 seconds | saving aggregated model to storage (round=4)
time: 7.8648 seconds | setting aggregated model to the blockchain round=4
time: 35.517100000000006 seconds | Round=5
time: 17.018700000000003 seconds | Aggregating round=5
time: 0.1721 seconds | saving aggregated model to storage (round=5)
time: 7.8158 seconds | setting aggregated model to the blockchain round=5
time: 179.08673198329998 seconds | FL

Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=2, NUM_ROUNDS=10,
time: 382.2099 seconds | Experiment
time: 55.6112 seconds | Round=1
time: 7.0432999999999995 seconds | deploying contract
time: 18.79576 seconds | Training client=1
time: 18.77355 seconds | Training client=0
time: 16.9484 seconds | Aggregating round=1
time: 6.96368 seconds | setting weights to the blockchain
time: 0.1739 seconds | saving aggregated model to storage (round=1)
time: 7.8095 seconds | setting aggregated model to the blockchain round=1
time: 36.5227 seconds | Round=2
time: 17.238 seconds | Aggregating round=2
time: 0.164 seconds | saving aggregated model to storage (round=2)
time: 7.806100000000001 seconds | setting aggregated model to the blockchain round=2
time: 36.554500000000004 seconds | Round=3
time: 17.5327 seconds | Aggregating round=3
time: 0.1706 seconds | saving aggregated model to storage (round=3)
time: 7.805199999999999 seconds | setting aggregated model to the blockchain round=3
time: 36.5279 seconds | Round=4
time: 17.679799999999997 seconds | Aggregating round=4
time: 0.16950000000000004 seconds | saving aggregated model to storage (round=4)
time: 7.8482 seconds | setting aggregated model to the blockchain round=4
time: 35.530899999999995 seconds | Round=5
time: 16.5418 seconds | Aggregating round=5
time: 0.1725 seconds | saving aggregated model to storage (round=5)
time: 7.839699999999999 seconds | setting aggregated model to the blockchain round=5
time: 35.5807 seconds | Round=6
time: 16.938499999999998 seconds | Aggregating round=6
