Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=2, NUM_ROUNDS=1,
time: 31.2177 seconds | Experiment
time: 29.1709 seconds | Round=1
time: 19.3615 seconds | Training client=1
time: 19.4152 seconds | Training client=0
time: 1.9260000000000002 seconds | Aggregating round=1
time: 21.704622204099998 seconds | FL

Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=2, NUM_ROUNDS=5,
time: 116.43160000000003 seconds | Experiment
time: 29.266900000000003 seconds | Round=1
time: 19.22362 seconds | Training client=1
time: 19.28376 seconds | Training client=0
time: 1.9307999999999996 seconds | Aggregating round=1
time: 21.0264 seconds | Round=2
time: 1.9393 seconds | Aggregating round=2
time: 21.1747 seconds | Round=3
time: 1.9403 seconds | Aggregating round=3
time: 21.435200000000002 seconds | Round=4
time: 1.9456 seconds | Aggregating round=4
time: 21.329500000000003 seconds | Round=5
time: 1.9545000000000001 seconds | Aggregating round=5
time: 106.64515586680002 seconds | FL

Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=2, NUM_ROUNDS=10,
time: 222.10039999999998 seconds | Experiment
time: 29.268300000000004 seconds | Round=1
time: 19.10673 seconds | Training client=1
time: 19.168989999999997 seconds | Training client=0
time: 1.9792999999999996 seconds | Aggregating round=1
time: 21.128 seconds | Round=2
time: 1.9707000000000001 seconds | Aggregating round=2
time: 21.134999999999998 seconds | Round=3
time: 1.9807 seconds | Aggregating round=3
time: 21.1745 seconds | Round=4
time: 1.9829999999999999 seconds | Aggregating round=4
time: 21.1108 seconds | Round=5
time: 1.9801000000000002 seconds | Aggregating round=5
time: 21.3039 seconds | Round=6
time: 1.9904 seconds | Aggregating round=6
time: 21.3261 seconds | Round=7
time: 1.9927 seconds | Aggregating round=7
time: 21.2142 seconds | Round=8
time: 1.9769999999999999 seconds | Aggregating round=8
time: 21.2003 seconds | Round=9
time: 1.9681000000000002 seconds | Aggregating round=9
time: 21.0922 seconds | Round=10
time: 1.9815999999999998 seconds | Aggregating round=10
time: 212.1769546627 seconds | FL

Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=5, NUM_ROUNDS=1,
time: 41.8563 seconds | Experiment
time: 39.6111 seconds | Round=1
time: 27.8976 seconds | Training client=3
time: 28.2603 seconds | Training client=0
time: 28.083900000000007 seconds | Training client=2
time: 28.313499999999998 seconds | Training client=4
time: 27.8685 seconds | Training client=1
time: 2.3115 seconds | Aggregating round=1
time: 31.489966383300004 seconds | FL

Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=5, NUM_ROUNDS=5,
time: 171.80419999999998 seconds | Experiment
time: 39.9062 seconds | Round=1
time: 27.689559999999997 seconds | Training client=2
time: 27.91572 seconds | Training client=1
time: 27.41974 seconds | Training client=3
time: 27.184540000000002 seconds | Training client=4
time: 27.510099999999998 seconds | Training client=0
time: 2.3027 seconds | Aggregating round=1
time: 30.871299999999998 seconds | Round=2
time: 2.3448 seconds | Aggregating round=2
time: 30.9317 seconds | Round=3
