Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=2, NUM_ROUNDS=1,
time: 523.8836 seconds | Experiment
time: 28.661300000000004 seconds | opening channels
time: 28.949900000000003 seconds | Round=1
time: 0.2419 seconds | sharing model with perun nodes
time: 19.4088 seconds | Training client=0
time: 19.2094 seconds | Training client=1
time: 0.1372 seconds | sending updated weights to the perun node (client=1)
time: 0.22069999999999998 seconds | sending updated weights to the perun node (client=0)
time: 2.4623999999999997 seconds | Aggregating round=1
time: 0.2162 seconds | saving aggregated model to storage (round=1)
time: 0.23620000000000002 seconds | sending aggregated model to perun nodes round=1
time: 22.1306818249 seconds | FL
time: 59.4397 seconds | settling channels

Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=2, NUM_ROUNDS=5,
time: 209.0311 seconds | Experiment
time: 28.229600000000005 seconds | opening channels
time: 30.1832 seconds | Round=1
time: 0.22599999999999998 seconds | sharing model with perun nodes
time: 19.6083 seconds | Training client=0
time: 19.59612 seconds | Training client=1
time: 0.19676 seconds | sending updated weights to the perun node (client=1)
time: 0.18242 seconds | sending updated weights to the perun node (client=0)
time: 2.6247999999999996 seconds | Aggregating round=1
time: 0.2969 seconds | saving aggregated model to storage (round=1)
time: 0.22319999999999998 seconds | sending aggregated model to perun nodes round=1
time: 21.781100000000002 seconds | Round=2
time: 2.5563 seconds | Aggregating round=2
time: 0.27080000000000004 seconds | saving aggregated model to storage (round=2)
time: 0.2202 seconds | sending aggregated model to perun nodes round=2
time: 22.7742 seconds | Round=3
time: 2.5548 seconds | Aggregating round=3
time: 0.2798 seconds | saving aggregated model to storage (round=3)
time: 0.22199999999999998 seconds | sending aggregated model to perun nodes round=3
time: 22.1915 seconds | Round=4
time: 2.5947 seconds | Aggregating round=4
time: 0.2683 seconds | saving aggregated model to storage (round=4)
time: 0.2218 seconds | sending aggregated model to perun nodes round=4
time: 22.755900000000004 seconds | Round=5
time: 2.5965 seconds | Aggregating round=5
time: 0.2864 seconds | saving aggregated model to storage (round=5)
time: 0.22039999999999998 seconds | sending aggregated model to perun nodes round=5
time: 112.29253005829999 seconds | FL
time: 58.25070000000001 seconds | settling channels

Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=2, NUM_ROUNDS=10,
time: 292.9604 seconds | Experiment
time: 28.176099999999998 seconds | opening channels
time: 30.339099999999995 seconds | Round=1
time: 0.2096 seconds | sharing model with perun nodes
time: 19.919810000000002 seconds | Training client=1
time: 19.739169999999998 seconds | Training client=0
time: 0.1483 seconds | sending updated weights to the perun node (client=0)
time: 0.18339000000000003 seconds | sending updated weights to the perun node (client=1)
time: 2.5279 seconds | Aggregating round=1
time: 0.27830000000000005 seconds | saving aggregated model to storage (round=1)
time: 0.2071 seconds | sending aggregated model to perun nodes round=1
time: 22.5636 seconds | Round=2
time: 2.5453 seconds | Aggregating round=2
time: 0.2912 seconds | saving aggregated model to storage (round=2)
time: 0.2036 seconds | sending aggregated model to perun nodes round=2
time: 22.2091 seconds | Round=3
time: 2.5647999999999995 seconds | Aggregating round=3
time: 0.27620000000000006 seconds | saving aggregated model to storage (round=3)
time: 0.20550000000000002 seconds | sending aggregated model to perun nodes round=3
time: 22.442 seconds | Round=4
time: 2.5037 seconds | Aggregating round=4
time: 0.27249999999999996 seconds | saving aggregated model to storage (round=4)
time: 0.20670000000000002 seconds | sending aggregated model to perun nodes round=4
time: 22.462000000000003 seconds | Round=5
time: 2.5256 seconds | Aggregating round=5
time: 0.2721 seconds | saving aggregated model to storage (round=5)
time: 0.2031 seconds | sending aggregated model to perun nodes round=5
time: 23.0171 seconds | Round=6
time: 2.5331 seconds | Aggregating round=6
