FL-experiment | INFO flwr 2024-03-12 01:05:05,697 | main.py:40 | Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=25, NUM_ROUNDS=2,
FL-experiment | INFO flwr 2024-03-12 01:05:05,697 | main.py:41 | Start Experiment
FL-experiment | DEBUG flwr 2024-03-12 01:05:07,352 | server.py:149 | File: storage/init_model_348553f3-2e16-4df7-8fe1-622bd3cb5ac4.pkl IPFS file hash: QmWhzzcYwuAT1X3YhUfghZGSHEeDx76V5THFvXXn5UjoEE
FL-experiment | INFO flwr 2024-03-12 01:05:07,358 | server.py:42 | Start Round=1
FL-experiment | INFO flwr 2024-03-12 01:05:07,358 | server.py:62 | Start deploying contract
FL-experiment | INFO flwr 2024-03-12 01:07:07,877 | server.py:66 | Done deploying contract
FL-experiment | INFO flwr 2024-03-12 01:07:07,878 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL-experiment | INFO flwr 2024-03-12 01:07:07,922 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-03-12 01:07:07,922 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-03-12 01:07:07,922 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-03-12 01:07:20,621 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 01:07:20,622 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 01:07:20,627 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 01:07:20,652 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-03-12 01:07:20,653 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-03-12 01:07:20,653 | server.py:104 | FL starting
