FL-experiment | INFO flwr 2024-03-04 13:30:28,481 | main.py:37 | Config: INCENTIVES_ON=False, IPFS_ON=False, NUM_CLIENTS=10, NUM_ROUNDS=3
FL-experiment | INFO flwr 2024-03-04 13:30:28,481 | main.py:38 | Start Experiment
FL-experiment | INFO flwr 2024-03-04 13:30:29,496 | server.py:35 | Start Round=1
FL-experiment | INFO flwr 2024-03-04 13:30:29,496 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL-experiment | INFO flwr 2024-03-04 13:30:29,507 | app.py:176 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-03-04 13:30:29,508 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-03-04 13:30:29,508 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-03-04 13:30:37,973 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-04 13:30:37,973 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-04 13:30:37,979 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-04 13:30:37,983 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-03-04 13:30:37,983 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-03-04 13:30:37,983 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-03-04 13:30:38,198 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-04 13:30:38,199 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-04 13:30:38,199 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-04 13:30:38,380 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-04 13:30:38,381 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-04 13:30:38,382 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-04 13:30:38,382 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-04 13:30:38,412 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-04 13:30:38,413 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-04 13:30:38,413 | connection.py:42 | ChannelConnectivity.CONNECTING
