FL-experiment | INFO flwr 2024-04-24 11:49:11,185 | main.py:43 | Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=25, NUM_ROUNDS=10,
FL-experiment | INFO flwr 2024-04-24 11:49:11,186 | main.py:44 | Start Experiment
FL-experiment | INFO flwr 2024-04-24 11:49:13,004 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-24 11:49:13,005 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
FL-experiment | INFO flwr 2024-04-24 11:49:13,018 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-04-24 11:49:13,018 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-04-24 11:49:13,018 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-04-24 11:49:25,135 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 11:49:25,135 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 11:49:25,136 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 11:49:25,137 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 11:49:25,144 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-04-24 11:49:25,145 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-04-24 11:49:25,145 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-04-24 11:49:25,370 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 11:49:25,372 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 11:49:25,376 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 11:49:25,552 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 11:49:25,574 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 11:49:25,583 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 11:49:25,589 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 11:49:25,600 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 11:49:25,642 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 11:49:25,986 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,030 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,070 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,071 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 11:49:26,201 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-04-24 11:49:26,217 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,259 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,260 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,261 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 11:49:26,282 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,284 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,284 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,316 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 11:49:26,324 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,327 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,329 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 11:49:26,333 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,342 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,343 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,343 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 11:49:26,346 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,355 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | INFO flwr 2024-04-24 11:49:26,364 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,401 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,407 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,408 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,421 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,422 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,424 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 11:49:26,508 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,538 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,569 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,577 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 11:49:26,636 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-04-24 11:49:26,647 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,650 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,651 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,651 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,676 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,677 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,677 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 11:49:26,682 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-04-24 11:49:26,685 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,685 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,686 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,692 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,692 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 11:49:26,711 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,712 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,712 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,713 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 11:49:26,729 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-04-24 11:49:26,731 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,734 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,734 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,735 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,736 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 11:49:26,751 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,752 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,753 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,753 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 11:49:26,754 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,755 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,755 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,756 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 11:49:26,763 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,773 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,773 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 11:49:26,774 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 11:49:27,734 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 11:49:27,734 | connection.py:42 | ChannelConnectivity.IDLE
