FL-experiment | INFO flwr 2024-03-07 03:57:36,438 | main.py:37 | Config: INCENTIVES_ON=True, IPFS_ON=True, NUM_CLIENTS=10, NUM_ROUNDS=1
FL-experiment | INFO flwr 2024-03-07 03:57:36,438 | main.py:38 | Start Experiment
FL-experiment | INFO flwr 2024-03-07 03:57:36,438 | main.py:44 | Start opening channels
FL-experiment | INFO flwr 2024-03-07 04:00:05,047 | main.py:46 | Done opening channels
FL-experiment | DEBUG flwr 2024-03-07 04:00:05,885 | server.py:111 | File: storage/init_model_1a678f76-f67b-4e4a-931e-81b3be5c5910.pkl IPFS file hash: QmYUBJMBS6NpH6Dunn1PLGdqVpMmL3EHvohP98tqWMJdst
FL-experiment | INFO flwr 2024-03-07 04:00:05,885 | server.py:35 | Start Round=1
FL-experiment | INFO flwr 2024-03-07 04:00:05,885 | server.py:42 | Start sharing model with perun nodes
FL-experiment | INFO flwr 2024-03-07 04:00:05,885 | server.py:45 | PERUN REQUEST: Sharing model with peer_0, REQ=set,peer_0,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-07 04:00:05,899 | server.py:45 | PERUN REQUEST: Sharing model with peer_1, REQ=set,peer_1,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-07 04:00:05,904 | server.py:45 | PERUN REQUEST: Sharing model with peer_2, REQ=set,peer_2,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-07 04:00:05,907 | server.py:45 | PERUN REQUEST: Sharing model with peer_3, REQ=set,peer_3,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-07 04:00:05,909 | server.py:45 | PERUN REQUEST: Sharing model with peer_4, REQ=set,peer_4,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-07 04:00:05,911 | server.py:45 | PERUN REQUEST: Sharing model with peer_5, REQ=set,peer_5,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-07 04:00:05,913 | server.py:45 | PERUN REQUEST: Sharing model with peer_6, REQ=set,peer_6,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-07 04:00:05,916 | server.py:45 | PERUN REQUEST: Sharing model with peer_7, REQ=set,peer_7,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-07 04:00:05,919 | server.py:45 | PERUN REQUEST: Sharing model with peer_8, REQ=set,peer_8,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-07 04:00:05,923 | server.py:45 | PERUN REQUEST: Sharing model with peer_9, REQ=set,peer_9,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-07 04:00:05,926 | server.py:48 | Done sharing model with perun nodes
FL-experiment | INFO flwr 2024-03-07 04:00:05,927 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=1, round_timeout=None)
FL-experiment | INFO flwr 2024-03-07 04:00:05,940 | app.py:176 | Flower ECE: gRPC server running (1 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-03-07 04:00:05,941 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-03-07 04:00:05,941 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-03-07 04:00:14,556 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-07 04:00:14,557 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-07 04:00:14,557 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-07 04:00:14,557 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-07 04:00:14,619 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-03-07 04:00:14,620 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-03-07 04:00:14,620 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-03-07 04:00:15,034 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-07 04:00:15,035 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-07 04:00:15,036 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-07 04:00:15,045 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-07 04:00:15,047 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | INFO flwr 2024-03-07 04:00:15,050 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-03-07 04:00:15,050 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-07 04:00:15,056 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-07 04:00:15,052 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-07 04:00:15,060 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-07 04:00:15,061 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-07 04:00:15,062 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-07 04:00:15,109 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-07 04:00:15,110 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-07 04:00:15,112 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-07 04:00:15,115 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-03-07 04:00:15,116 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-07 04:00:15,116 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-07 04:00:15,117 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-07 04:00:15,117 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-07 04:00:15,118 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-07 04:00:15,118 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-07 04:00:15,119 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-07 04:00:15,122 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-07 04:00:15,123 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-07 04:00:15,125 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-07 04:00:15,131 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-07 04:00:15,244 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-07 04:00:15,245 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-07 04:00:15,246 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-07 04:00:15,246 | server.py:222 | fit_round 1: strategy sampled 10 clients (out of 10)
FL-experiment | INFO flwr 2024-03-07 04:00:15,249 | client.py:126 | Start Training client=4
FL-experiment | INFO flwr 2024-03-07 04:00:15,249 | client.py:126 | Start Training client=0
FL-experiment | INFO flwr 2024-03-07 04:00:15,249 | client.py:126 | Start Training client=8
FL-experiment | INFO flwr 2024-03-07 04:00:15,250 | client.py:126 | Start Training client=3
FL-experiment | INFO flwr 2024-03-07 04:00:15,251 | client.py:126 | Start Training client=2
FL-experiment | INFO flwr 2024-03-07 04:00:15,251 | client.py:126 | Start Training client=6
FL-experiment | INFO flwr 2024-03-07 04:00:15,253 | client.py:126 | Start Training client=1
FL-experiment | INFO flwr 2024-03-07 04:00:15,253 | client.py:126 | Start Training client=9
FL-experiment | INFO flwr 2024-03-07 04:00:15,256 | client.py:126 | Start Training client=5
FL-experiment | INFO flwr 2024-03-07 04:00:15,261 | client.py:126 | Start Training client=7
FL-experiment | DEBUG flwr 2024-03-07 04:01:04,630 | client.py:137 | File: storage/updated_weights_0_b2d2296c-bd56-4020-b1d0-0efb9f99e515.pkl IPFS file hash: QmTVQUjhEf9fDPw2y8nmvohzcKUGY89ugc9D4Xqc55iKYN
FL-experiment | INFO flwr 2024-03-07 04:01:04,630 | client.py:139 | Start sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-03-07 04:01:04,630 | client.py:142 | PERUN REQUEST: Setting weight client=0, REQ=set,peer_10,1,1,10,0,0
FL-experiment | INFO flwr 2024-03-07 04:01:04,639 | client.py:144 | Done sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-03-07 04:01:04,639 | client.py:147 | Done Training client=0
FL-experiment | DEBUG flwr 2024-03-07 04:01:04,805 | client.py:137 | File: storage/updated_weights_7_9eb0c9d3-8b08-40f3-a0aa-89439e6da646.pkl IPFS file hash: QmbWfFjwPVwyRYQzrCEw8HRM7UcY4U3A5AKWjyyhvvtL5z
FL-experiment | INFO flwr 2024-03-07 04:01:04,805 | client.py:139 | Start sending updated weights to the perun node (client=7)
FL-experiment | INFO flwr 2024-03-07 04:01:04,805 | client.py:142 | PERUN REQUEST: Setting weight client=7, REQ=set,peer_10,1,1,10,0,0
FL-experiment | INFO flwr 2024-03-07 04:01:04,815 | client.py:144 | Done sending updated weights to the perun node (client=7)
FL-experiment | INFO flwr 2024-03-07 04:01:04,815 | client.py:147 | Done Training client=7
FL-experiment | DEBUG flwr 2024-03-07 04:01:04,852 | client.py:137 | File: storage/updated_weights_8_691d0cd7-252b-4a82-9ec8-8a057f4bf320.pkl IPFS file hash: QmRNHCgeNe6GrvyRVGC9b5CSKytWvfStyt18jDdAFKmKwA
