FL-experiment | INFO flwr 2024-04-30 01:53:46,511 | main.py:43 | Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=10, NUM_ROUNDS=5,
FL-experiment | INFO flwr 2024-04-30 01:53:46,511 | main.py:44 | Start Experiment
FL-experiment | INFO flwr 2024-04-30 01:53:46,511 | main.py:54 | Start opening channels
FL-experiment | INFO flwr 2024-04-30 01:56:12,376 | main.py:56 | Done opening channels
FL-experiment | DEBUG flwr 2024-04-30 01:56:14,508 | server.py:147 | File: storage/init_model_71be8cb2-137d-457d-9f7d-9ffebb54bb13.pkl IPFS file hash: QmZX6xRTeVC4gtD8pWxi3UEZFuBdo9H1s6N7KEuhpwpXbJ
FL-experiment | INFO flwr 2024-04-30 01:56:14,508 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-30 01:56:14,508 | server.py:49 | Start sharing model with perun nodes
FL-experiment | INFO flwr 2024-04-30 01:56:14,508 | server.py:52 | PERUN REQUEST: Sharing model with peer_0, REQ=set,peer_0,QmZX6xRTeVC4gtD8pWxi3UEZFuBdo9H1s6N7KEuhpwpXbJ,5,0,0,0
FL-experiment | INFO flwr 2024-04-30 01:56:14,685 | server.py:52 | PERUN REQUEST: Sharing model with peer_1, REQ=set,peer_1,QmZX6xRTeVC4gtD8pWxi3UEZFuBdo9H1s6N7KEuhpwpXbJ,5,0,0,0
FL-experiment | INFO flwr 2024-04-30 01:56:14,856 | server.py:52 | PERUN REQUEST: Sharing model with peer_2, REQ=set,peer_2,QmZX6xRTeVC4gtD8pWxi3UEZFuBdo9H1s6N7KEuhpwpXbJ,5,0,0,0
FL-experiment | INFO flwr 2024-04-30 01:56:15,029 | server.py:52 | PERUN REQUEST: Sharing model with peer_3, REQ=set,peer_3,QmZX6xRTeVC4gtD8pWxi3UEZFuBdo9H1s6N7KEuhpwpXbJ,5,0,0,0
FL-experiment | INFO flwr 2024-04-30 01:56:15,200 | server.py:52 | PERUN REQUEST: Sharing model with peer_4, REQ=set,peer_4,QmZX6xRTeVC4gtD8pWxi3UEZFuBdo9H1s6N7KEuhpwpXbJ,5,0,0,0
FL-experiment | INFO flwr 2024-04-30 01:56:15,373 | server.py:52 | PERUN REQUEST: Sharing model with peer_5, REQ=set,peer_5,QmZX6xRTeVC4gtD8pWxi3UEZFuBdo9H1s6N7KEuhpwpXbJ,5,0,0,0
FL-experiment | INFO flwr 2024-04-30 01:56:15,585 | server.py:52 | PERUN REQUEST: Sharing model with peer_6, REQ=set,peer_6,QmZX6xRTeVC4gtD8pWxi3UEZFuBdo9H1s6N7KEuhpwpXbJ,5,0,0,0
FL-experiment | INFO flwr 2024-04-30 01:56:15,808 | server.py:52 | PERUN REQUEST: Sharing model with peer_7, REQ=set,peer_7,QmZX6xRTeVC4gtD8pWxi3UEZFuBdo9H1s6N7KEuhpwpXbJ,5,0,0,0
FL-experiment | INFO flwr 2024-04-30 01:56:16,002 | server.py:52 | PERUN REQUEST: Sharing model with peer_8, REQ=set,peer_8,QmZX6xRTeVC4gtD8pWxi3UEZFuBdo9H1s6N7KEuhpwpXbJ,5,0,0,0
FL-experiment | INFO flwr 2024-04-30 01:56:16,170 | server.py:52 | PERUN REQUEST: Sharing model with peer_9, REQ=set,peer_9,QmZX6xRTeVC4gtD8pWxi3UEZFuBdo9H1s6N7KEuhpwpXbJ,5,0,0,0
FL-experiment | INFO flwr 2024-04-30 01:56:16,337 | server.py:54 | Done sharing model with perun nodes
FL-experiment | INFO flwr 2024-04-30 01:56:16,338 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL-experiment | INFO flwr 2024-04-30 01:56:16,363 | app.py:176 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-04-30 01:56:16,363 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-04-30 01:56:16,363 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-04-30 01:56:22,968 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-30 01:56:22,992 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-30 01:56:22,993 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,016 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-30 01:56:23,114 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-04-30 01:56:23,114 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-04-30 01:56:23,114 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-04-30 01:56:23,228 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-04-30 01:56:23,228 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-04-30 01:56:23,229 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-04-30 01:56:23,232 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,241 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,242 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,243 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,244 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,244 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,250 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,255 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,259 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,255 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,261 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,262 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-30 01:56:23,303 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,304 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,305 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,305 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-30 01:56:23,333 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-04-30 01:56:23,333 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,335 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,335 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,337 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,336 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,343 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-30 01:56:23,348 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-04-30 01:56:23,348 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,362 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,362 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,363 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,366 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,368 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-30 01:56:23,369 | server.py:222 | fit_round 1: strategy sampled 10 clients (out of 10)
FL-experiment | INFO flwr 2024-04-30 01:56:23,379 | client.py:128 | Start Training client=0
FL-experiment | INFO flwr 2024-04-30 01:56:23,379 | client.py:128 | Start Training client=7
FL-experiment | INFO flwr 2024-04-30 01:56:23,388 | client.py:128 | Start Training client=8
FL-experiment | INFO flwr 2024-04-30 01:56:23,390 | client.py:128 | Start Training client=6
FL-experiment | INFO flwr 2024-04-30 01:56:23,390 | client.py:128 | Start Training client=9
FL-experiment | INFO flwr 2024-04-30 01:56:23,390 | client.py:128 | Start Training client=2
FL-experiment | INFO flwr 2024-04-30 01:56:23,397 | client.py:128 | Start Training client=3
FL-experiment | INFO flwr 2024-04-30 01:56:23,398 | client.py:128 | Start Training client=4
FL-experiment | INFO flwr 2024-04-30 01:56:23,398 | client.py:128 | Start Training client=5
FL-experiment | INFO flwr 2024-04-30 01:56:23,399 | client.py:128 | Start Training client=1
FL-experiment | DEBUG flwr 2024-04-30 01:57:13,570 | client.py:139 | File: storage/updated_weights_6_eddacad5-7a6e-4c6e-a4bd-ab19be327591.pkl IPFS file hash: QmVi4dKi8tLpX9zP4c12AzxPm1CKZCYCM3JsvSchU8M8tv
FL-experiment | INFO flwr 2024-04-30 01:57:13,571 | client.py:141 | Start sending updated weights to the perun node (client=6)
FL-experiment | INFO flwr 2024-04-30 01:57:13,571 | client.py:144 | PERUN REQUEST: Setting weight client=6, REQ=set,peer_10,1,5,QmVi4dKi8tLpX9zP4c12AzxPm1CKZCYCM3JsvSchU8M8tv,0,0
