FL-experiment | INFO flwr 2024-03-07 03:25:32,341 | main.py:37 | Config: INCENTIVES_ON=True, IPFS_ON=True, NUM_CLIENTS=2, NUM_ROUNDS=2
FL-experiment | INFO flwr 2024-03-07 03:25:32,341 | main.py:38 | Start Experiment
FL-experiment | INFO flwr 2024-03-07 03:25:32,341 | main.py:44 | Start opening channels
FL-experiment | INFO flwr 2024-03-07 03:26:02,173 | main.py:46 | Done opening channels
FL-experiment | DEBUG flwr 2024-03-07 03:26:03,043 | server.py:111 | File: storage/init_model_9597e6d0-2e1e-4bb0-9b10-bf15600a8f62.pkl IPFS file hash: QmTyiZXVJQ1Jy8kdcQwYUbGXNkJVxBdcZwn5E4FPf7wKaD
FL-experiment | INFO flwr 2024-03-07 03:26:03,043 | server.py:35 | Start Round=1
FL-experiment | INFO flwr 2024-03-07 03:26:03,043 | server.py:42 | Start sharing model with perun nodes
FL-experiment | INFO flwr 2024-03-07 03:26:03,043 | server.py:45 | PERUN REQUEST: Sharing model with peer_0, REQ=set,peer_0,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-07 03:26:03,047 | server.py:45 | PERUN REQUEST: Sharing model with peer_1, REQ=set,peer_1,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-07 03:26:03,051 | server.py:48 | Done sharing model with perun nodes
FL-experiment | INFO flwr 2024-03-07 03:26:03,051 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL-experiment | INFO flwr 2024-03-07 03:26:03,064 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-03-07 03:26:03,065 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-03-07 03:26:03,069 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-03-07 03:26:10,741 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-07 03:26:10,742 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-07 03:26:10,743 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-07 03:26:10,744 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-07 03:26:10,754 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-03-07 03:26:10,754 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-03-07 03:26:10,754 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-03-07 03:26:10,954 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-07 03:26:10,955 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-07 03:26:10,957 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-07 03:26:10,957 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
FL-experiment | INFO flwr 2024-03-07 03:26:10,959 | client.py:126 | Start Training client=1
FL-experiment | INFO flwr 2024-03-07 03:26:10,963 | client.py:126 | Start Training client=0
FL-experiment | DEBUG flwr 2024-03-07 03:26:28,712 | client.py:137 | File: storage/updated_weights_0_650a2305-9a1c-4f22-a641-5523c88b4c12.pkl IPFS file hash: QmVELkejZRzx6GuKXhnBPRvG1MNfjRDtg42kKNMc7EfMaT
FL-experiment | INFO flwr 2024-03-07 03:26:28,712 | client.py:139 | Start sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-03-07 03:26:28,712 | client.py:142 | PERUN REQUEST: Setting weight client=0, REQ=set,peer_2,1,2,10,0,0
FL-experiment | INFO flwr 2024-03-07 03:26:28,716 | client.py:144 | Done sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-03-07 03:26:28,716 | client.py:147 | Done Training client=0
FL-experiment | DEBUG flwr 2024-03-07 03:26:29,247 | client.py:137 | File: storage/updated_weights_1_bbae4d7f-96c1-41f7-aceb-a8183a5dbd7f.pkl IPFS file hash: QmVqcPLJ2HELf3EwnScQBCbT5KK48eYZJTBi8jEoLa7Xio
FL-experiment | INFO flwr 2024-03-07 03:26:29,248 | client.py:139 | Start sending updated weights to the perun node (client=1)
FL-experiment | INFO flwr 2024-03-07 03:26:29,248 | client.py:142 | PERUN REQUEST: Setting weight client=1, REQ=set,peer_2,1,2,10,0,0
FL-experiment | INFO flwr 2024-03-07 03:26:29,256 | client.py:144 | Done sending updated weights to the perun node (client=1)
FL-experiment | INFO flwr 2024-03-07 03:26:29,256 | client.py:147 | Done Training client=1
