FL-experiment | INFO flwr 2024-05-02 22:47:11,618 | main.py:43 | Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=50, NUM_ROUNDS=5,
FL-experiment | INFO flwr 2024-05-02 22:47:11,619 | main.py:44 | Start Experiment
FL-experiment | INFO flwr 2024-05-02 22:47:11,619 | main.py:54 | Start opening channels
FL-experiment | INFO flwr 2024-05-02 22:59:41,327 | main.py:56 | Done opening channels
FL-experiment | DEBUG flwr 2024-05-02 22:59:43,643 | server.py:147 | File: storage/init_model_63fd6a55-411b-4570-85ed-b5b688f058f2.pkl IPFS file hash: Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5
FL-experiment | INFO flwr 2024-05-02 22:59:43,643 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-05-02 22:59:43,643 | server.py:49 | Start sharing model with perun nodes
FL-experiment | INFO flwr 2024-05-02 22:59:43,643 | server.py:52 | PERUN REQUEST: Sharing model with peer_0, REQ=set,peer_0,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:43,801 | server.py:52 | PERUN REQUEST: Sharing model with peer_1, REQ=set,peer_1,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:43,951 | server.py:52 | PERUN REQUEST: Sharing model with peer_2, REQ=set,peer_2,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:44,101 | server.py:52 | PERUN REQUEST: Sharing model with peer_3, REQ=set,peer_3,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:44,246 | server.py:52 | PERUN REQUEST: Sharing model with peer_4, REQ=set,peer_4,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:44,396 | server.py:52 | PERUN REQUEST: Sharing model with peer_5, REQ=set,peer_5,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:44,579 | server.py:52 | PERUN REQUEST: Sharing model with peer_6, REQ=set,peer_6,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:44,785 | server.py:52 | PERUN REQUEST: Sharing model with peer_7, REQ=set,peer_7,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:44,967 | server.py:52 | PERUN REQUEST: Sharing model with peer_8, REQ=set,peer_8,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:45,115 | server.py:52 | PERUN REQUEST: Sharing model with peer_9, REQ=set,peer_9,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:45,345 | server.py:52 | PERUN REQUEST: Sharing model with peer_10, REQ=set,peer_10,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:45,513 | server.py:52 | PERUN REQUEST: Sharing model with peer_11, REQ=set,peer_11,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:45,705 | server.py:52 | PERUN REQUEST: Sharing model with peer_12, REQ=set,peer_12,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:45,866 | server.py:52 | PERUN REQUEST: Sharing model with peer_13, REQ=set,peer_13,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:46,016 | server.py:52 | PERUN REQUEST: Sharing model with peer_14, REQ=set,peer_14,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:46,180 | server.py:52 | PERUN REQUEST: Sharing model with peer_15, REQ=set,peer_15,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:46,374 | server.py:52 | PERUN REQUEST: Sharing model with peer_16, REQ=set,peer_16,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:46,526 | server.py:52 | PERUN REQUEST: Sharing model with peer_17, REQ=set,peer_17,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:46,665 | server.py:52 | PERUN REQUEST: Sharing model with peer_18, REQ=set,peer_18,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:46,809 | server.py:52 | PERUN REQUEST: Sharing model with peer_19, REQ=set,peer_19,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:46,952 | server.py:52 | PERUN REQUEST: Sharing model with peer_20, REQ=set,peer_20,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:47,096 | server.py:52 | PERUN REQUEST: Sharing model with peer_21, REQ=set,peer_21,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:47,251 | server.py:52 | PERUN REQUEST: Sharing model with peer_22, REQ=set,peer_22,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:47,398 | server.py:52 | PERUN REQUEST: Sharing model with peer_23, REQ=set,peer_23,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
