FL-experiment | INFO flwr 2024-05-02 12:01:44,391 | main.py:43 | Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=50, NUM_ROUNDS=1,
FL-experiment | INFO flwr 2024-05-02 12:01:44,391 | main.py:44 | Start Experiment
FL-experiment | INFO flwr 2024-05-02 12:01:44,391 | main.py:54 | Start opening channels
FL-experiment | INFO flwr 2024-05-02 12:14:10,973 | main.py:56 | Done opening channels
FL-experiment | DEBUG flwr 2024-05-02 12:14:12,687 | server.py:147 | File: storage/init_model_8407265c-6a26-4872-b05d-215c3d632ab1.pkl IPFS file hash: QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc
FL-experiment | INFO flwr 2024-05-02 12:14:12,687 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-05-02 12:14:12,687 | server.py:49 | Start sharing model with perun nodes
FL-experiment | INFO flwr 2024-05-02 12:14:12,687 | server.py:52 | PERUN REQUEST: Sharing model with peer_0, REQ=set,peer_0,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:12,830 | server.py:52 | PERUN REQUEST: Sharing model with peer_1, REQ=set,peer_1,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:12,964 | server.py:52 | PERUN REQUEST: Sharing model with peer_2, REQ=set,peer_2,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:13,108 | server.py:52 | PERUN REQUEST: Sharing model with peer_3, REQ=set,peer_3,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:13,251 | server.py:52 | PERUN REQUEST: Sharing model with peer_4, REQ=set,peer_4,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:13,398 | server.py:52 | PERUN REQUEST: Sharing model with peer_5, REQ=set,peer_5,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:13,543 | server.py:52 | PERUN REQUEST: Sharing model with peer_6, REQ=set,peer_6,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:13,689 | server.py:52 | PERUN REQUEST: Sharing model with peer_7, REQ=set,peer_7,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:13,821 | server.py:52 | PERUN REQUEST: Sharing model with peer_8, REQ=set,peer_8,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:13,960 | server.py:52 | PERUN REQUEST: Sharing model with peer_9, REQ=set,peer_9,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:14,105 | server.py:52 | PERUN REQUEST: Sharing model with peer_10, REQ=set,peer_10,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:14,269 | server.py:52 | PERUN REQUEST: Sharing model with peer_11, REQ=set,peer_11,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:14,417 | server.py:52 | PERUN REQUEST: Sharing model with peer_12, REQ=set,peer_12,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:14,545 | server.py:52 | PERUN REQUEST: Sharing model with peer_13, REQ=set,peer_13,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:14,673 | server.py:52 | PERUN REQUEST: Sharing model with peer_14, REQ=set,peer_14,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:14,882 | server.py:52 | PERUN REQUEST: Sharing model with peer_15, REQ=set,peer_15,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:15,131 | server.py:52 | PERUN REQUEST: Sharing model with peer_16, REQ=set,peer_16,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
