Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=2, NUM_ROUNDS=1,
NET | IPFS Requests: 4 | PERUN Requests: 0
2024-03-11 21:37:10.405000 | time: 54.173 seconds | Experiment
2024-03-11 21:37:11.772000 | time: 52.332 seconds | Round=1
2024-03-11 21:37:11.772000 | time: 7.269 seconds | deploying contract
2024-03-11 21:37:26.150000 | time: 18.203 seconds | Training client=1
2024-03-11 21:37:26.150000 | time: 18.215 seconds | Training client=0
2024-03-11 21:37:44.367000 | time: 19.737 seconds | Aggregating round=1
2024-03-11 21:37:44.367000 | time: 9.801 seconds | setting weights to the blockchain
2024-03-11 21:37:54.174000 | time: 0.047 seconds | saving aggregated model to storage (round=1)
2024-03-11 21:37:55.961000 | time: 8.143 seconds | setting aggregated model to the blockchain round=1
2024-03-11 21:38:04.105000 | time: 38.239876167000006 seconds| FL finished in 38.239876167000006

Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=2, NUM_ROUNDS=2,
NET | IPFS Requests: 7 | PERUN Requests: 0
2024-03-11 21:38:20.544000 | time: 89.2 seconds | Experiment
2024-03-11 21:38:21.933000 | time: 52.282 seconds | Round=1
2024-03-11 21:38:21.933000 | time: 7.203 seconds | deploying contract
2024-03-11 21:38:36.684000 | time: 19.094 seconds | Training client=1
2024-03-11 21:38:36.689000 | time: 19.127 seconds | Training client=0
2024-03-11 21:38:55.818000 | time: 18.397 seconds | Aggregating round=1
2024-03-11 21:38:55.818000 | time: 8.336 seconds | setting weights to the blockchain
2024-03-11 21:39:04.160000 | time: 0.043 seconds | saving aggregated model to storage (round=1)
2024-03-11 21:39:05.970000 | time: 8.245 seconds | setting aggregated model to the blockchain round=1
2024-03-11 21:39:14.215000 | time: 35.052 seconds | Round=2
2024-03-11 21:39:14.222000 | time: 18.86 seconds | Training client=1
2024-03-11 21:39:14.223000 | time: 18.934 seconds | Training client=0
2024-03-11 21:39:33.158000 | time: 16.109 seconds | Aggregating round=2
2024-03-11 21:39:33.158000 | time: 6.129 seconds | setting weights to the blockchain
2024-03-11 21:39:39.290000 | time: 0.038 seconds | saving aggregated model to storage (round=2)
2024-03-11 21:39:41.108000 | time: 8.159 seconds | setting aggregated model to the blockchain round=2
2024-03-11 21:39:49.267000 | time: 72.68317329199999 seconds| FL finished in 72.68317329199999

Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=2, NUM_ROUNDS=3,
NET | IPFS Requests: 10 | PERUN Requests: 0
2024-03-11 21:40:13.383000 | time: 121.444 seconds | Experiment
2024-03-11 21:40:14.868000 | time: 49.507 seconds | Round=1
2024-03-11 21:40:14.868000 | time: 9.446 seconds | deploying contract
2024-03-11 21:40:29.356000 | time: 19.137 seconds | Training client=1
2024-03-11 21:40:29.361000 | time: 19.217 seconds | Training client=0
2024-03-11 21:40:48.580000 | time: 15.795 seconds | Aggregating round=1
2024-03-11 21:40:48.580000 | time: 5.709 seconds | setting weights to the blockchain
2024-03-11 21:40:54.294000 | time: 0.044 seconds | saving aggregated model to storage (round=1)
2024-03-11 21:40:56.112000 | time: 8.263 seconds | setting aggregated model to the blockchain round=1
2024-03-11 21:41:04.375000 | time: 34.945 seconds | Round=2
2024-03-11 21:41:04.381000 | time: 17.719 seconds | Training client=0
2024-03-11 21:41:04.382000 | time: 18.25 seconds | Training client=1
2024-03-11 21:41:22.633000 | time: 16.687 seconds | Aggregating round=2
2024-03-11 21:41:22.634000 | time: 6.711 seconds | setting weights to the blockchain
2024-03-11 21:41:29.350000 | time: 0.047 seconds | saving aggregated model to storage (round=2)
2024-03-11 21:41:31.184000 | time: 8.135 seconds | setting aggregated model to the blockchain round=2
2024-03-11 21:41:39.320000 | time: 35.047 seconds | Round=3
2024-03-11 21:41:39.326000 | time: 18.353 seconds | Training client=1
2024-03-11 21:41:39.328000 | time: 17.559 seconds | Training client=0
2024-03-11 21:41:57.681000 | time: 16.686 seconds | Aggregating round=3
2024-03-11 21:41:57.681000 | time: 6.669 seconds | setting weights to the blockchain
2024-03-11 21:42:04.356000 | time: 0.13 seconds | saving aggregated model to storage (round=3)
2024-03-11 21:42:06.255000 | time: 8.112 seconds | setting aggregated model to the blockchain round=3
2024-03-11 21:42:14.368000 | time: 105.507330209 seconds| FL finished in 105.507330209

Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=5, NUM_ROUNDS=1,
