Config: INCENTIVES_ON=True, IPFS_ON=True, NUM_CLIENTS=2, NUM_ROUNDS=1
NET | IPFS Requests: 4 | PERUN Requests: 6
2024-03-07 03:22:25.981000 | time: 122.102 seconds | Experiment
2024-03-07 03:22:25.981000 | time: 25.861 seconds | opening channels
2024-03-07 03:22:54.660000 | time: 29.155 seconds | Round=1
2024-03-07 03:22:54.660000 | time: 0.024 seconds | sharing model with perun nodes
2024-03-07 03:23:03.490000 | time: 18.003 seconds | Training client=0
2024-03-07 03:23:03.491000 | time: 18.528 seconds | Training client=1
2024-03-07 03:23:21.480000 | time: 0.012 seconds | sending updated weights to the perun node (client=0)
2024-03-07 03:23:22.009000 | time: 0.01 seconds | sending updated weights to the perun node (client=1)
2024-03-07 03:23:22.020000 | time: 1.795 seconds | Aggregating round=1
2024-03-07 03:23:22.023000 | time: 0.018 seconds | saving aggregated model to storage (round=1)
2024-03-07 03:23:23.805000 | time: 0.01 seconds | sending aggregated model to perun nodes round=1
2024-03-07 03:23:23.815000 | time: 20.361709042 seconds| FL finished in 20.361709042
2024-03-07 03:23:29.644000 | time: 58.438 seconds | settling channels

Config: INCENTIVES_ON=True, IPFS_ON=True, NUM_CLIENTS=2, NUM_ROUNDS=2
NET | IPFS Requests: 7 | PERUN Requests: 10
2024-03-07 03:25:32.341000 | time: 146.037 seconds | Experiment
2024-03-07 03:25:32.341000 | time: 29.832 seconds | opening channels
2024-03-07 03:26:03.043000 | time: 28.058 seconds | Round=1
2024-03-07 03:26:03.043000 | time: 0.008 seconds | sharing model with perun nodes
2024-03-07 03:26:10.959000 | time: 18.297 seconds | Training client=1
2024-03-07 03:26:10.963000 | time: 17.753 seconds | Training client=0
2024-03-07 03:26:28.712000 | time: 0.004 seconds | sending updated weights to the perun node (client=0)
2024-03-07 03:26:29.248000 | time: 0.008 seconds | sending updated weights to the perun node (client=1)
2024-03-07 03:26:29.257000 | time: 1.844 seconds | Aggregating round=1
2024-03-07 03:26:29.259000 | time: 0.023 seconds | saving aggregated model to storage (round=1)
2024-03-07 03:26:31.091000 | time: 0.01 seconds | sending aggregated model to perun nodes round=1
2024-03-07 03:26:31.101000 | time: 20.109 seconds | Round=2
2024-03-07 03:26:31.104000 | time: 18.263 seconds | Training client=1
2024-03-07 03:26:31.104000 | time: 17.656 seconds | Training client=0
2024-03-07 03:26:48.755000 | time: 0.005 seconds | sending updated weights to the perun node (client=0)
2024-03-07 03:26:49.360000 | time: 0.007 seconds | sending updated weights to the perun node (client=1)
2024-03-07 03:26:49.368000 | time: 1.842 seconds | Aggregating round=2
2024-03-07 03:26:49.370000 | time: 0.018 seconds | saving aggregated model to storage (round=2)
2024-03-07 03:26:51.200000 | time: 0.01 seconds | sending aggregated model to perun nodes round=2
2024-03-07 03:26:51.210000 | time: 40.456406582999996 seconds| FL finished in 40.456406582999996
2024-03-07 03:26:58.596000 | time: 59.782 seconds | settling channels

Config: INCENTIVES_ON=True, IPFS_ON=True, NUM_CLIENTS=2, NUM_ROUNDS=3
NET | IPFS Requests: 10 | PERUN Requests: 14
2024-03-07 03:28:16.320000 | time: 157.27 seconds | Experiment
2024-03-07 03:28:16.320000 | time: 26.079 seconds | opening channels
2024-03-07 03:28:43.230000 | time: 28.861 seconds | Round=1
2024-03-07 03:28:43.231000 | time: 0.008 seconds | sharing model with perun nodes
2024-03-07 03:28:51.076000 | time: 19.177 seconds | Training client=0
2024-03-07 03:28:51.082000 | time: 19.184 seconds | Training client=1
2024-03-07 03:29:10.248000 | time: 0.005 seconds | sending updated weights to the perun node (client=0)
2024-03-07 03:29:10.260000 | time: 0.006 seconds | sending updated weights to the perun node (client=1)
2024-03-07 03:29:10.268000 | time: 1.822 seconds | Aggregating round=1
2024-03-07 03:29:10.270000 | time: 0.015 seconds | saving aggregated model to storage (round=1)
2024-03-07 03:29:12.079000 | time: 0.011 seconds | sending aggregated model to perun nodes round=1
2024-03-07 03:29:12.091000 | time: 20.866 seconds | Round=2
2024-03-07 03:29:12.093000 | time: 19.053 seconds | Training client=1
2024-03-07 03:29:12.094000 | time: 19.041 seconds | Training client=0
2024-03-07 03:29:31.126000 | time: 0.009 seconds | sending updated weights to the perun node (client=0)
